end_date,yes,Headline,Published Date
2024-12-04,38.0,"Detroit’s Mayor, a Democrat, Will Run for Michigan Governor as an Independent",2024-12-04
2024-12-04,38.0,"Trump Has ‘Lost Faith’ in N.R.A., Says Gun Group Official",2024-12-04
2024-12-04,38.0,"Detroit’s Mayor, a Democrat, Will Run for Michigan Governor as an Independent",2024-12-04
2024-12-04,38.0,"Trump Has ‘Lost Faith’ in N.R.A., Says Gun Group Official",2024-12-04
2024-12-02,37.11,Biden the Father vs. Biden the Institutionalist,2024-12-02
2024-12-02,37.11,Director of ‘2000 Mules’ Acknowledges the Conspiratorial Film Was Flawed,2024-12-02
2024-12-02,37.11,What’s Next in U.S. Elections: Races to Watch in 2025,2024-12-02
2024-11-30,43.0,"After Democratic Losses, a Little-Known Lawmaker Wants to Lead the Party",2024-11-30
2024-11-30,43.0,"For Rising Democrats, the Quiet Race to Lead the Party Began Months Ago",2024-11-30
2024-11-27,35.0,What’s a Democratic Billionaire to Do Now?,2024-11-27
2024-11-27,35.0,John Fetterman Wants Democrats to Stop Freaking Out,2024-11-27
2024-11-26,38.0,North Carolina’s Democratic Governor Vetoes a G.O.P. Power Grab,2024-11-26
2024-11-26,42.0,North Carolina’s Democratic Governor Vetoes a G.O.P. Power Grab,2024-11-26
2024-11-22,36.0,Elon Musk Gets a Crash Course in How Trumpworld Works,2024-11-22
2024-11-22,36.0,Matt Gaetz and the D-word,2024-11-22
2024-11-22,39.0,Elon Musk Gets a Crash Course in How Trumpworld Works,2024-11-22
2024-11-22,39.0,Matt Gaetz and the D-word,2024-11-22
2024-11-20,41.0,North Carolina Republicans Push to Seize Power From Top Democrats,2024-11-20
2024-11-20,41.0,Behind the Scenes at a Secretive Gathering of Rising MAGA Donors,2024-11-20
2024-11-20,41.0,Harris Loss Has Democrats Fighting Over How to Talk About Transgender Rights,2024-11-20
2024-11-20,41.0,Why Are Latinos Fleeing Democrats? Arizona’s New Senator Offers Answers.,2024-11-20
2024-11-20,41.0,How to Win Latino Voters,2024-11-20
2024-11-20,40.0,North Carolina Republicans Push to Seize Power From Top Democrats,2024-11-20
2024-11-20,40.0,Behind the Scenes at a Secretive Gathering of Rising MAGA Donors,2024-11-20
2024-11-20,40.0,Harris Loss Has Democrats Fighting Over How to Talk About Transgender Rights,2024-11-20
2024-11-20,40.0,Why Are Latinos Fleeing Democrats? Arizona’s New Senator Offers Answers.,2024-11-20
2024-11-20,40.0,How to Win Latino Voters,2024-11-20
2024-11-20,37.0,North Carolina Republicans Push to Seize Power From Top Democrats,2024-11-20
2024-11-20,37.0,Behind the Scenes at a Secretive Gathering of Rising MAGA Donors,2024-11-20
2024-11-20,37.0,Harris Loss Has Democrats Fighting Over How to Talk About Transgender Rights,2024-11-20
2024-11-20,37.0,Why Are Latinos Fleeing Democrats? Arizona’s New Senator Offers Answers.,2024-11-20
2024-11-20,37.0,How to Win Latino Voters,2024-11-20
2024-11-19,37.0,Dan Osborn Wants to Help the Working Class Run for Office,2024-11-19
2024-11-19,37.0,"Ken Martin, a Minnesotan With Deep Democratic Ties, Joins the D.N.C. Race",2024-11-19
2024-11-19,37.0,"For Minority Working-Class Voters, Dismay With Democrats Led to Distrust",2024-11-19
2024-11-19,37.0,Democrats Face a Series of Tests Over Support for Israel,2024-11-19
2024-11-19,43.0,Dan Osborn Wants to Help the Working Class Run for Office,2024-11-19
2024-11-19,43.0,"Ken Martin, a Minnesotan With Deep Democratic Ties, Joins the D.N.C. Race",2024-11-19
2024-11-19,43.0,"For Minority Working-Class Voters, Dismay With Democrats Led to Distrust",2024-11-19
2024-11-19,43.0,Democrats Face a Series of Tests Over Support for Israel,2024-11-19
